index,xo,yo,xd,yd,volume
115,-73.894104,45.461292,-73.792707,45.497601,59
116,-73.663207,45.553853,-73.611376,45.555219,10
117,-73.595258,45.465868,-73.630726,45.441065,31
118,-73.836628,45.431559,-73.879343,45.430072,37
119,-73.676069,45.522427,-73.649291,45.471753,15
120,-73.776469,45.508147,-73.822269,45.482969,86
121,-73.714389,45.439193,-73.720355,45.444392,91
122,-73.575068,45.44375,-73.903139,45.42617,91
123,-73.870117,45.492573,-73.549081,45.590987,3
124,-73.569436,45.486897,-73.542181,45.541816,39
125,-73.705492,45.521022,-73.54615,45.467508,3
126,-73.58936,45.645869,-73.619529,45.597576,40
127,-73.861237,45.486395,-73.594868,45.566567,78
128,-73.6198,45.43032,-73.808116,45.457342,53
129,-73.608988,45.634544,-73.833055,45.502978,31
130,-73.672549,45.507911,-73.674926,45.523313,9
131,-73.638319,45.493463,-73.621824,45.48005,77
132,-73.580774,45.549189,-73.83576,45.497349,99
133,-73.882922,45.48693,-73.591433,45.5246,10
134,-73.618955,45.435824,-73.526539,45.568713,23
135,-73.626954,45.524272,-73.556327,45.595066,35
136,-73.62406,45.415284,-73.827929,45.498926,25
137,-73.564775,45.49296,-73.654536,45.580703,32
138,-73.676077,45.506613,-73.640561,45.422505,47
139,-73.642255,45.51658,-73.761955,45.442409,71
140,-73.569065,45.55394,-73.627566,45.604199,60
141,-73.620423,45.514275,-73.709158,45.523067,92
142,-73.511608,45.607971,-73.629845,45.421178,40
143,-73.491219,45.697515,-73.566538,45.518933,13
144,-73.833063,45.499011,-73.612373,45.560667,83
145,-73.671518,45.555335,-73.841003,45.467983,78
146,-73.810539,45.441403,-73.568122,45.555228,4
147,-73.671571,45.528989,-73.719552,45.53242,55
148,-73.613449,45.617801,-73.598628,45.463935,59
149,-73.571337,45.536333,-73.599128,45.535664,13
150,-73.567914,45.464951,-73.618363,45.529356,86
151,-73.809169,45.438242,-73.583169,45.519384,82
152,-73.606772,45.522299,-73.574255,45.636915,29
153,-73.596326,45.441461,-73.544028,45.605759,3
154,-73.635613,45.575546,-73.609155,45.468802,8
155,-73.642043,45.479095,-73.813859,45.510918,61
156,-73.61759,45.494953,-73.56187,45.547761,94
157,-73.70864,45.538629,-73.590901,45.446957,31
158,-73.64002,45.48231,-73.581001,45.457045,67
159,-73.6022,45.537078,-73.562168,45.460181,30
160,-73.543127,45.607044,-73.639263,45.537664,99
161,-73.823473,45.464575,-73.647264,45.477138,33
162,-73.540981,45.537233,-73.631572,45.525874,40
163,-73.542078,45.562232,-73.704028,45.436546,42
164,-73.543063,45.48924,-73.582388,45.448879,52
165,-73.581108,45.611333,-73.720478,45.444371,22
166,-73.759952,45.507889,-73.596519,45.538521,94
167,-73.86885,45.499349,-73.596222,45.460975,71
168,-73.780222,45.455397,-73.538706,45.574941,89
169,-73.744218,45.450268,-73.61267,45.590738,12
170,-73.54129,45.572476,-73.917295,45.422986,11
171,-73.64165,45.435582,-73.60868,45.469501,14
172,-73.700586,45.44744,-73.666079,45.559681,5
173,-73.914769,45.426604,-73.832556,45.509628,29
174,-73.558369,45.661605,-73.859091,45.448984,48
175,-73.54677,45.56118,-73.853062,45.48192,61
176,-73.751087,45.441879,-73.589808,45.539942,1
177,-73.58818,45.484593,-73.649534,45.553233,51
178,-73.685236,45.533625,-73.551825,45.521304,29
179,-73.586155,45.567546,-73.566895,45.491731,24
180,-73.585367,45.561637,-73.653805,45.519269,62
181,-73.514859,45.605856,-73.598736,45.476838,93
182,-73.837022,45.508468,-73.692189,45.53934,66
183,-73.547749,45.580985,-73.583254,45.453999,78
184,-73.604494,45.622371,-73.895615,45.46366,58
185,-73.671518,45.555335,-73.840036,45.472692,41
186,-73.549082,45.585529,-73.72537,45.438598,23
187,-73.560377,45.510074,-73.802817,45.480703,92
188,-73.847647,45.499894,-73.696587,45.517504,58
189,-73.548051,45.580532,-73.927237,45.406249,96
190,-73.552908,45.592604,-73.798188,45.498561,71
191,-73.524337,45.596142,-73.660378,45.46947,40
192,-73.491184,45.682765,-73.867309,45.438439,45
193,-73.816239,45.459748,-73.601978,45.474015,78
194,-73.668909,45.538548,-73.697851,45.481112,72
195,-73.626183,45.437546,-73.637386,45.537114,6
196,-73.662562,45.513803,-73.593998,45.557325,3
197,-73.865067,45.485247,-73.651004,45.422382,19
198,-73.767749,45.448822,-73.693689,45.51231,100
199,-73.711421,45.505311,-73.679298,45.435088,36
200,-73.569932,45.481994,-73.612373,45.560667,22
201,-73.678126,45.445947,-73.606318,45.472668,22
202,-73.731172,45.445078,-73.65284,45.556597,52
203,-73.599228,45.446235,-73.54677,45.56118,73
204,-73.649999,45.428196,-73.590153,45.437823,92
205,-73.652476,45.422207,-73.684589,45.506734,45
206,-73.792998,45.481684,-73.602518,45.490325,95
207,-73.668143,45.530203,-73.590087,45.629851,39
208,-73.597985,45.547138,-73.747652,45.443006,45
209,-73.581921,45.58694,-73.561044,45.497768,15
210,-73.551207,45.595391,-73.865819,45.423989,30
211,-73.843468,45.500434,-73.870541,45.48921,30
212,-73.931311,45.405922,-73.659905,45.572227,76
213,-73.619354,45.431093,-73.870681,45.458204,70
214,-73.760722,45.444909,-73.661489,45.468352,29
215,-73.950436,45.403792,-73.706219,45.527652,17
216,-73.692624,45.513134,-73.692462,45.441258,7
217,-73.610176,45.580944,-73.87763,45.448728,88
218,-73.876138,45.486897,-73.761628,45.442463,0
219,-73.638558,45.594002,-73.635899,45.537427,5
220,-73.833688,45.51105,-73.616368,45.63124,3
221,-73.620398,45.535591,-73.638331,45.433776,76
222,-73.677445,45.43356,-73.526088,45.64731,42
223,-73.816436,45.477087,-73.546805,45.457913,16
224,-73.527951,45.556725,-73.634493,45.588326,41
225,-73.644955,45.536942,-73.585396,45.524575,35
226,-73.644181,45.57009,-73.850805,45.464738,29
227,-73.583587,45.495798,-73.492582,45.651433,2
228,-73.817714,45.449341,-73.600549,45.534047,90
229,-73.628959,45.460518,-73.705659,45.445693,2
230,-73.581929,45.582795,-73.62274,45.609188,51
231,-73.660967,45.505429,-73.578041,45.53453,57
232,-73.873406,45.431465,-73.680504,45.441943,90
233,-73.642995,45.427643,-73.552625,45.450614,88
234,-73.599719,45.613448,-73.673527,45.431808,48
235,-73.637814,45.491291,-73.536269,45.588967,36
236,-73.713617,45.527048,-73.775498,45.470457,94
237,-73.697399,45.541261,-73.546403,45.529041,0
238,-73.549144,45.451158,-73.596234,45.486075,11
239,-73.715081,45.489747,-73.546698,45.616375,61
240,-73.565364,45.496195,-73.504323,45.639014,98
241,-73.568865,45.531225,-73.756378,45.503685,4
242,-73.844875,45.447232,-73.581159,45.501944,12
243,-73.602801,45.433036,-73.589925,45.466608,53
244,-73.73931,45.44781,-73.536162,45.652327,92
245,-73.743712,45.438751,-73.781667,45.495414,93
246,-73.56654,45.51174,-73.611333,45.487291,50
247,-73.647104,45.538824,-73.720243,45.524252,19
248,-73.598208,45.580777,-73.750215,45.446069,51
249,-73.887439,45.465629,-73.680538,45.515762,15
250,-73.831099,45.500003,-73.674056,45.555246,21
251,-73.635726,45.514842,-73.670207,45.499878,62
252,-73.590175,45.490016,-73.669514,45.537505,71
253,-73.69705,45.531446,-73.719262,45.528474,66
254,-73.514834,45.640721,-73.638558,45.594002,66
255,-73.546252,45.604644,-73.56679,45.618817,64
256,-73.480748,45.696255,-73.617016,45.610389,12
257,-73.569754,45.547194,-73.549795,45.461094,59
258,-73.960111,45.417507,-73.552735,45.449591,68
259,-73.568842,45.599499,-73.708068,45.510492,73
260,-73.572293,45.542579,-73.554961,45.550583,59
261,-73.630521,45.55187,-73.541875,45.659233,55
262,-73.558334,45.476941,-73.849943,45.468063,33
263,-73.847724,45.475839,-73.928486,45.416925,48
264,-73.639374,45.592717,-73.559358,45.455003,51
265,-73.588538,45.45606,-73.600957,45.594499,22
266,-73.569261,45.485737,-73.586962,45.54873,65
267,-73.580078,45.648564,-73.576729,45.53805,53
268,-73.8478,45.500052,-73.622334,45.42334,74
269,-73.794885,45.458566,-73.705733,45.495311,40
270,-73.644847,45.491618,-73.626493,45.47653,90
271,-73.638469,45.508742,-73.530843,45.595205,37
272,-73.581623,45.641309,-73.686505,45.43782,53
273,-73.570049,45.465041,-73.860178,45.46672,63
274,-73.558497,45.652425,-73.609314,45.632462,14
275,-73.693141,45.448128,-73.785789,45.502068,92
276,-73.84956,45.463638,-73.551799,45.519372,49
277,-73.586749,45.619915,-73.575013,45.514321,75
278,-73.513457,45.60234,-73.56243,45.539346,3
279,-73.558859,45.604526,-73.878462,45.462809,17
280,-73.573877,45.596432,-73.590409,45.45884,87
281,-73.678634,45.520596,-73.818851,45.460532,44
282,-73.576687,45.566049,-73.489895,45.642071,4
283,-73.890864,45.417617,-73.810456,45.492303,2
284,-73.684992,45.500595,-73.56126,45.498553,37
285,-73.879581,45.449408,-73.676656,45.521971,59
286,-73.650207,45.454754,-73.558934,45.478583,46
287,-73.529338,45.601845,-73.861914,45.458519,66
288,-73.600288,45.497006,-73.57301,45.591072,95
289,-73.767749,45.448822,-73.60026,45.452973,61
290,-73.627113,45.499012,-73.684841,45.501647,93
291,-73.540618,45.577065,-73.511144,45.587741,99
292,-73.622428,45.520859,-73.806589,45.506014,72
293,-73.930447,45.420171,-73.571488,45.582506,4
294,-73.565596,45.618306,-73.589364,45.453509,47
295,-73.674697,45.533673,-73.565203,45.535153,58
296,-73.699155,45.540229,-73.647062,45.44341,95
297,-73.599056,45.589902,-73.636002,45.530841,11
298,-73.622617,45.480937,-73.652114,45.570018,47
299,-73.817047,45.447407,-73.646498,45.52218,7
300,-73.617842,45.437435,-73.887703,45.461628,37
301,-73.650824,45.58221,-73.786652,45.455992,2
302,-73.597932,45.591065,-73.66609,45.561882,94
303,-73.720444,45.513833,-73.560232,45.500014,92
304,-73.645324,45.592302,-73.748653,45.446689,96
305,-73.544082,45.615598,-73.822549,45.502584,28
306,-73.846708,45.433983,-73.595666,45.493682,88
307,-73.562574,45.609668,-73.518479,45.598614,89
308,-73.78627,45.502111,-73.540102,45.587879,37
309,-73.726555,45.511973,-73.622187,45.423319,96
310,-73.856952,45.469247,-73.6587,45.50591,50
311,-73.678942,45.49991,-73.637566,45.540675,17
312,-73.831732,45.487512,-73.950327,45.406917,10
313,-73.795182,45.449483,-73.629524,45.432396,81
314,-73.645067,45.548483,-73.588042,45.434016,63
315,-73.782012,45.501243,-73.637332,45.470107,58
316,-73.554569,45.477656,-73.598174,45.494619,18
317,-73.660062,45.53548,-73.595803,45.575316,8
318,-73.569073,45.553927,-73.525674,45.590684,25
319,-73.585405,45.538944,-73.659716,45.465478,32
320,-73.640734,45.449331,-73.559375,45.661212,24
321,-73.492354,45.64974,-73.759731,45.507906,31
322,-73.510111,45.61219,-73.685205,45.43479,55
323,-73.580459,45.553268,-73.883445,45.428164,69
324,-73.80397,45.43825,-73.633941,45.461097,3
325,-73.578886,45.515953,-73.594539,45.523836,33
326,-73.599817,45.576373,-73.698719,45.447601,71
327,-73.583487,45.58808,-73.560556,45.47712,65
328,-73.678346,45.461091,-73.640756,45.562647,61
329,-73.62835,45.503782,-73.85578,45.50173,100
330,-73.643727,45.570617,-73.593261,45.45117,73
331,-73.639672,45.542703,-73.588918,45.523456,2
332,-73.653575,45.532403,-73.575866,45.594829,7
333,-73.584696,45.461782,-73.579479,45.48385,43
334,-73.851566,45.466994,-73.599461,45.563684,52
335,-73.578961,45.554788,-73.625409,45.477725,94
336,-73.900292,45.442845,-73.593744,45.576127,54
337,-73.825232,45.430688,-73.605127,45.421118,60
338,-73.589045,45.581283,-73.659631,45.49921,92
339,-73.694389,45.511761,-73.500805,45.654438,32
340,-73.64156,45.564608,-73.541733,45.585358,94
341,-73.587829,45.58149,-73.583593,45.607761,96
342,-73.610912,45.594691,-73.848887,45.438176,49
343,-73.67163,45.559664,-73.595643,45.480455,26
344,-73.542529,45.611318,-73.606016,45.621869,9
345,-73.630361,45.426077,-73.619736,45.536909,98
346,-73.579362,45.533131,-73.545687,45.530048,78
347,-73.625864,45.465351,-73.632989,45.465546,89
348,-73.625518,45.610682,-73.66628,45.429093,35
349,-73.665289,45.540123,-73.487706,45.691797,92
350,-73.603152,45.592392,-73.828879,45.430181,43
351,-73.68935,45.505436,-73.741138,45.522589,29
352,-73.58695,45.437301,-73.680402,45.498736,35
353,-73.566387,45.538053,-73.592903,45.588769,12
354,-73.847504,45.494767,-73.665257,45.474834,63
355,-73.61402,45.610284,-73.51606,45.646569,78
356,-73.645965,45.53427,-73.548384,45.59496,56
357,-73.625445,45.542853,-73.658915,45.574574,49
358,-73.870106,45.452268,-73.96118,45.42148,39
359,-73.655117,45.558843,-73.542376,45.672702,12
360,-73.894381,45.416231,-73.818095,45.502646,81
361,-73.601973,45.532615,-73.544857,45.605967,75
362,-73.86096,45.463405,-73.56213,45.521532,7
363,-73.817389,45.497641,-73.651321,45.478201,39
364,-73.642468,45.453737,-73.856952,45.469247,70
365,-73.559187,45.603477,-73.810251,45.494945,28
366,-73.582583,45.603521,-73.610648,45.490886,71
367,-73.633941,45.461097,-73.600573,45.471937,58
368,-73.713694,45.513541,-73.804171,45.45092,60
369,-73.692923,45.525895,-73.940786,45.403474,38
370,-73.701347,45.499313,-73.591375,45.570506,65
371,-73.530143,45.55402,-73.567616,45.590384,61
372,-73.697397,45.509489,-73.563193,45.582334,28
373,-73.617457,45.568026,-73.557801,45.540783,83
374,-73.614746,45.590495,-73.493335,45.657617,21
375,-73.564759,45.614096,-73.898057,45.446965,25
376,-73.542882,45.476409,-73.65724,45.46226,12
377,-73.584754,45.56234,-73.575672,45.482647,13
378,-73.619407,45.555231,-73.666772,45.559087,65
379,-73.595738,45.427133,-73.578048,45.529256,70
380,-73.879043,45.492408,-73.833172,45.431287,24
381,-73.58412,45.605767,-73.557055,45.475553,29
382,-73.86404,45.457732,-73.581881,45.579402,14
383,-73.558994,45.651937,-73.564224,45.554746,84
384,-73.833433,45.479262,-73.577694,45.492919,22
385,-73.706997,45.445861,-73.817652,45.443183,71
386,-73.604751,45.526983,-73.824971,45.4801,35
387,-73.595678,45.574431,-73.54745,45.596582,48
388,-73.567829,45.550103,-73.634462,45.488692,72
389,-73.636249,45.4507,-73.769965,45.453274,74
390,-73.625017,45.484294,-73.533633,45.548834,93
391,-73.545957,45.469427,-73.887145,45.45365,78
392,-73.799119,45.459274,-73.726447,45.517661,72
393,-73.652703,45.56298,-73.747632,45.447911,39
394,-73.80754,45.502717,-73.481271,45.698998,85
395,-73.587932,45.518372,-73.714516,45.535865,65
396,-73.663505,45.44253,-73.599079,45.61396,51
397,-73.725219,45.460447,-73.716047,45.514974,53
398,-73.635807,45.601401,-73.844169,45.443473,82
399,-73.501656,45.643877,-73.643873,45.513059,8
400,-73.514639,45.611381,-73.645733,45.507592,69
401,-73.588188,45.575276,-73.530143,45.55402,36
402,-73.535899,45.593936,-73.694102,45.543758,89
403,-73.680094,45.528141,-73.76516,45.446939,40
404,-73.63058,45.56817,-73.601247,45.598788,77
405,-73.686192,45.503467,-73.572165,45.453838,37
406,-73.607353,45.594943,-73.857773,45.464302,25
407,-73.778294,45.449048,-73.806293,45.4842,30
408,-73.604271,45.472417,-73.822542,45.493514,5
409,-73.593817,45.529002,-73.535823,45.663651,36
410,-73.491717,45.682494,-73.725283,45.517623,8
411,-73.681628,45.513482,-73.557166,45.647792,46
412,-73.555261,45.525455,-73.527322,45.609723,72
413,-73.661117,45.439127,-73.623203,45.468509,44
414,-73.554569,45.477656,-73.695395,45.446339,84
415,-73.712577,45.53769,-73.631325,45.546597,28
416,-73.629676,45.523344,-73.598145,45.446214,65
417,-73.827795,45.478081,-73.511821,45.607316,27
418,-73.567496,45.486957,-73.715088,45.495353,98
419,-73.813379,45.470088,-73.630062,45.577327,91
420,-73.565837,45.538598,-73.55183,45.53411,5
421,-73.936669,45.449435,-73.819587,45.454775,48
422,-73.740006,45.44073,-73.75399,45.495541,65
423,-73.643195,45.421859,-73.681767,45.516523,70
424,-73.879043,45.492408,-73.559143,45.51178,64
425,-73.610472,45.470115,-73.626615,45.531047,32
426,-73.824971,45.4801,-73.652802,45.422328,18
427,-73.494072,45.67048,-73.670922,45.444969,56
428,-73.761403,45.449766,-73.58991,45.545344,47
429,-73.846238,45.434069,-73.573256,45.643896,19
430,-73.641769,45.533423,-73.506302,45.64139,18
431,-73.620425,45.478431,-73.558322,45.507038,14
432,-73.505651,45.668864,-73.531446,45.606442,75
433,-73.600739,45.559973,-73.630228,45.428308,33
434,-73.699964,45.517415,-73.864971,45.480408,61
435,-73.72623,45.481828,-73.856574,45.458763,88
436,-73.493256,45.632741,-73.667379,45.558079,9
437,-73.705102,45.54068,-73.645597,45.440656,25
438,-73.555676,45.576522,-73.616256,45.534667,12
439,-73.724001,45.519665,-73.502038,45.641841,43
440,-73.728598,45.520029,-73.573001,45.482216,22
441,-73.65419,45.505345,-73.642043,45.479095,95
442,-73.655267,45.537539,-73.851078,45.430863,89
443,-73.568789,45.523099,-73.538148,45.602855,61
444,-73.579251,45.495656,-73.551598,45.530306,60
445,-73.607728,45.554481,-73.679896,45.512491,16
446,-73.546292,45.581187,-73.688743,45.536247,0
447,-73.508765,45.672194,-73.597939,45.47337,6
448,-73.572967,45.505562,-73.690279,45.540296,5
449,-73.587194,45.480112,-73.558054,45.610295,31
450,-73.795653,45.461797,-73.57095,45.660482,75
451,-73.608416,45.535636,-73.541535,45.60649,66
452,-73.673248,45.459878,-73.948793,45.405183,95
453,-73.570153,45.507812,-73.575831,45.61724,100
454,-73.695545,45.522803,-73.566049,45.488299,74
455,-73.724578,45.448203,-73.733243,45.44041,88
456,-73.506911,45.672596,-73.604293,45.540163,33
457,-73.725707,45.53175,-73.566153,45.557345,82
458,-73.610176,45.580944,-73.62185,45.439263,15
459,-73.828107,45.444585,-73.57546,45.60191,36
460,-73.566012,45.546633,-73.624901,45.466616,67
461,-73.702081,45.510473,-73.617746,45.538441,71
462,-73.492897,45.675427,-73.624602,45.530208,97
463,-73.592526,45.640674,-73.64489,45.569251,81
464,-73.500013,45.65365,-73.610704,45.529232,68
465,-73.851316,45.434232,-73.569029,45.60256,47
466,-73.490741,45.660308,-73.53652,45.580056,69
467,-73.61431,45.474931,-73.544744,45.564613,26
468,-73.595585,45.544328,-73.552107,45.608625,20
469,-73.868697,45.482511,-73.637566,45.540675,84
470,-73.926128,45.406546,-73.563198,45.569431,29
471,-73.789366,45.476401,-73.876928,45.47053,84
472,-73.832237,45.496069,-73.780447,45.491865,40
473,-73.55353,45.604307,-73.762679,45.488454,0
474,-73.878292,45.467101,-73.854037,45.447822,27
475,-73.60136,45.471365,-73.66927,45.479359,46
476,-73.638044,45.586451,-73.735276,45.506722,32
477,-73.562543,45.492222,-73.590944,45.595992,6
478,-73.846657,45.483623,-73.697781,45.539049,85
479,-73.493932,45.640504,-73.632897,45.617694,33
480,-73.571893,45.660065,-73.722837,45.504541,90
481,-73.524355,45.591284,-73.642981,45.478435,41
482,-73.572293,45.542579,-73.568734,45.508376,59
483,-73.567215,45.549217,-73.539096,45.574341,44
484,-73.548054,45.466695,-73.723316,45.529688,85
485,-73.800189,45.44727,-73.9024,45.419207,87
486,-73.845786,45.455647,-73.566049,45.46824,19
487,-73.534388,45.561047,-73.734786,45.509704,1
488,-73.812714,45.446233,-73.638816,45.432948,71
489,-73.606033,45.558751,-73.836818,45.506558,15
490,-73.644174,45.452619,-73.829761,45.438841,61
491,-73.521913,45.654805,-73.68274,45.514166,98
492,-73.859973,45.441043,-73.850109,45.465519,58
493,-73.541995,45.487124,-73.874778,45.427108,41
494,-73.514748,45.640988,-73.595143,45.445747,7
495,-73.555038,45.506998,-73.603739,45.561277,40
496,-73.809049,45.458903,-73.568339,45.449944,0
497,-73.550295,45.585142,-73.851737,45.485998,39
498,-73.799386,45.462866,-73.82398,45.430983,60
499,-73.557177,45.488027,-73.572149,45.601327,17
500,-73.709431,45.51189,-73.636352,45.431955,52
501,-73.879601,45.498674,-73.704517,45.537511,17
502,-73.583334,45.51628,-73.565283,45.541529,68
503,-73.530229,45.649163,-73.561758,45.616487,81
504,-73.675795,45.523861,-73.564854,45.570732,1
505,-73.624547,45.528155,-73.850852,45.429318,77
506,-73.661653,45.544143,-73.592136,45.632644,10
507,-73.598714,45.594973,-73.656251,45.56843,55
508,-73.672209,45.541726,-73.564206,45.50571,44
509,-73.674054,45.503192,-73.848366,45.435048,77
510,-73.660357,45.512348,-73.603402,45.424746,55
511,-73.508243,45.643601,-73.565696,45.519191,66
512,-73.683673,45.53439,-73.83957,45.494773,53
513,-73.549979,45.597903,-73.567125,45.568167,87
514,-73.539641,45.595182,-73.615998,45.540717,63
515,-73.811893,45.443982,-73.779519,45.501976,47
516,-73.718552,45.438772,-73.565689,45.490519,54
517,-73.659098,45.464333,-73.565855,45.531175,11
518,-73.804105,45.456758,-73.612772,45.485218,98
519,-73.596711,45.521492,-73.766912,45.456582,72
520,-73.786462,45.462933,-73.588181,45.460154,84
521,-73.642786,45.42045,-73.595334,45.481869,84
522,-73.846225,45.501254,-73.793854,45.509171,98
523,-73.630803,45.515948,-73.566132,45.519843,2
524,-73.606142,45.477625,-73.906861,45.459063,85
525,-73.551196,45.520036,-73.602673,45.635625,12
526,-73.627978,45.485061,-73.580789,45.641901,95
527,-73.65173,45.476809,-73.71892,45.439978,85
528,-73.647589,45.506716,-73.510383,45.611429,95
529,-73.782273,45.455309,-73.639483,45.503931,2
530,-73.57546,45.60191,-73.501661,45.67904,39
531,-73.842861,45.434685,-73.733147,45.527848,99
532,-73.619839,45.535473,-73.601866,45.433952,81
533,-73.735056,45.490091,-73.726237,45.517651,51
534,-73.535127,45.590693,-73.579639,45.610851,58
535,-73.847026,45.436803,-73.635196,45.532641,66
536,-73.629368,45.610485,-73.599489,45.518249,62
